Société;Id. Concours;Id. Projet;Titre du projet;Non applicable;Description du projet;Non applicable;Etat du projet;Date d'octroi;Date de 1er versement (concours);Date d’achèvement opérationnel du projet;Libellé agence;Valeur fixe;Cofinancier;Libellé bénéficiaire primaire;Code-Canal (pour tiers bénéficiaires d’un concours);Pays de réalisation;Région;Latitude;Longitude ;Libellé secteur économique  (CAD-5);Libellé CICID;Non applicable;Valeur fixe;Libellé indicateur APD;Groupe de produit;Valeur fixe;Valeur fixe;Engagements bruts (euro);Non applicable;Non applicable;Versements (euro);Non applicable;Non applicable;Non applicable;Lien_Fiche_Projet;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Cofinanciers (O/N);Date mise à jour données projet;Date de la dernière publication;Date de publication NCO;Lien vers evaluation;Responsable pays;Division Technique;Libellé Risque Souverain;Décaissement Annuel;Budget;Publié dans le XML de Campagne;Date de Signature de Convention;IA publié;Géolocalisation
AFD;CAL100303;CAL1003;Égalité de genre dans l'accès aux opportunités économiques;;Prêt de politique publique (+subvention pour l'assistance technique) en cofinancement avec la Banque mondiale, destiné à favoriser l'égal accès des femmes et des hommes à l'emploi et à l'entrepreneuriat;;Exécution;2019-12-04;2023-05-25;;AGENCE DE BELGRADE (BALKANS OCCIDENTAUX);France;Banque internationale pour la reconstruction et le développement (BIRD);BANQUE INTERN. POUR RECONSTRUCTION & DEVELOPPEMENT;44001.0;ALBANIE;Orient(s);41.3275459;19.8186982;Droits de la personne;Gouvernance;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;180000.0;;;180000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1003;;;;;;Oui;2024-05-03;2023-06-26;2023-06-26;;AFDBELGRADE@afd.fr;Division Education et Formation professionnelle;Sans objet ( autre que prêt );90000.0;180000.0;Oui;2023-03-02;Non;41.3275459, 19.8186982
AFD;CAL101202;CAL1012;Projet d'amélioration du service d'eau potable de la région de Durrës;;Le projet comporte 5 composantes : (i) renouvellement du réseau de distribution dans la ville de Durrës pour 37 M€ . (ii) réhabilitation de la station de pompage et de la conduite de transfert d'eau de Fushe Kuqe, pour 15,7 M€ . (iii) réalisation du schéma directeur d'assainissement de la région de Durrës pour 1,3 M€ . (iv) transformation opérationnelle et organisationnelle de DWSU pour 5 M€ . (v) coordination du projet pour 2 M€.;;Exécution;2020-11-05;;;AGENCE DE BELGRADE (BALKANS OCCIDENTAUX);France;;REPUBLIQUE D'ALBANIE;12001.0;ALBANIE;Orient(s);41.192302;19.2629;ALIMENTATION EN EAU - SYSTEMES A GRANDE ECHELLE;Eau et assainissement;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;1000000.0;;;0.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1012;;;;;;Non;2024-03-18;2023-12-20;2023-12-20;;AFDBELGRADE@afd.fr;Division eau et assainissement;Sans objet ( autre que prêt );0.0;1000000.0;Oui;2022-11-15;Non;41.192302, 19.2629
AFD;CAM100507;CAM1005;Subvention en appui du projet CAM 1000 (logement social et efficacité énergétique des logements);;Subvention en appui du projet CAM 1000 (logement social et efficacité énergétique des logements);;Exécution;;2019-11-19;;AGENCE DE TBILISSI (SUD CAUCASE);France;;AGENCE FRANCAISE DE DEVELOPPEMENT;11004.0;ARMENIE;Orient(s);48.8442306;2.3784529;LOGEMENT A COUT REDUIT;Infrastructures et développement urbain;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;150000.0;;;150000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAM1005;;;;;;Non;2024-03-28;2020-07-22;2020-07-22;;afdtbilissi@afd.fr;Division Systèmes Financiers;Sans objet ( autre que prêt );0.0;150000.0;Oui;2019-08-20;Non;48.8442306, 2.3784529
AFD;CAO103202;CAO1032;optimisation du secteur de l'énergie en Angola, en co-financement avec la Banque Mondiale (BM).;;Le programme a comme objectifs principaux (i) l'augmentation de l'accès à l'électricité et (ii) l'amélioration de la performance opérationnelle et commerciale du secteur électrique. Le projet se concentre sur les investissements prioritaires les plus urgents et les plus matures, permettant à l'Etat et aux entreprises publiques du secteur d'atteindre des résultats rapides en termes d'amélioration de la qualité de service et une meilleure rentabilité économique.;;Exécution;;;;AGENCE DE LUANDA;France;Banque internationale pour la reconstruction et le développement (BIRD);REPUBLIQUE D'ANGOLA;12001.0;ANGOLA;Afrique Sub-saharienne;-8.813196;13.2364011;Transport et distribution d'électricité;Infrastructures et développement urbain;;Bilatéral;APD;Prêt;Intervention de type projet;Aide déliée;141154593.86;;;0.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAO1032;;;;;;Oui;2024-04-10;2021-12-21;2021-12-21;;AFDLUANDA@afd.fr;Div. Energie;Souverain Direct;0.0;141154593.86;Oui;2021-07-13;Non;-8.813196, 13.2364011
AFD;CBD102301;CBD1023;Développement et amélioration de l'efficacité énergétique du réseau électrique de Dhaka;;"Projet de renforcement et d'amélioration du facteur de puissance du réseau électrique de DPDC et amélioration de l'efficacité énergétique grâce à l'intégration d'automatismes avancés. Des fonctions innovantes utilisant des solutions ""smart"" pourront etre répliquées par DPDC pour progresser dans leur migration vers un réseau de plus en plus flexible et intelligent (favorisant ainsi l'intégration des énergies renouvelables) Prêt AFD de 100M€ et AIF de l'UE de 12M€ (pilote Smart GRid)";;Exécution;2019-12-19;2021-06-07;;AGENCE DE DACCA;France;;REPUBLIQUE POPULAIRE DU BANGLADESH;12001.0;BANGLADESH;Orient(s);28.6134907;77.2184347;Transport et distribution d'électricité;Infrastructures et développement urbain;;Bilatéral;APD;Prêt;Intervention de type projet;Aide déliée;100000000.0;;;8084214.26;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBD1023;;;;;;Non;2024-03-28;2020-08-13;2020-08-13;;afddacca@afd.fr;Div. Energie;Souverain Direct;271545.0;100000000.0;Oui;2020-12-08;Non;28.6134907, 77.2184347
AFD;CBD103101;CBD1031;Financement d'investissements en énergie renouvelable, en efficacité énergétique et pour l'entreprenariat féminin;;Cette ligne de crédit verte sera rétrocédée à l'institution financière non bancaire publique BIFFL (Bangladesh Infrastructure Finance Fund Limited) pour financer des investissements dans les domaines de l'efficacité énergétique (70 à 80 %), de la production d'énergies renouvelables (20 à 30 %) et de l'entreprenariat des femmes. la FAPS CLK1033 de 560 KE complète ce projet.;;Exécution;2020-12-16;2022-06-10;;AGENCE DE DACCA;France;;REPUBLIQUE POPULAIRE DU BANGLADESH;12001.0;BANGLADESH;Orient(s);23.7438817;90.395924;Intermédiaires financiers officiels;Secteur productif;;Bilatéral;APD;Prêt;Intervention de type projet;Aide déliée;50000000.0;;;9680000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBD1031;;;;;;Non;2024-04-12;2021-12-27;2021-12-27;;afddacca@afd.fr;Division Systèmes Financiers;Souverain Direct;0.0;50000000.0;Oui;2021-08-12;Oui;23.7438817, 90.395924
AFD;CBD104301;CBD1043;Projet d'assainissement de la métropole de Chattogram - North Kattoli;;North Kattoli CWASA-Assainissement collectif et non-collectif du bassin versant N°5 de Chattogram urbain & quartiers précaires, dispositif social, économie circulaire Construction d'infra. d'assainissement collectif (réseau de collecte primaire & secondaire, env. 10500 connexions domestiques, tunnel de collecte acheminant les eaux usées vers la STEP, STEP) Structuration de l'assainissement collectif (env. 15% de la population de la zone de projet) Renforcement des capacités de l'exploitant;;Exécution;2022-10-27;;;AGENCE DE DACCA;France;;REPUBLIQUE POPULAIRE DU BANGLADESH;12001.0;BANGLADESH;Orient(s);22.353577;91.760394;ASSAINISSEMENT - SYSTEMES A GRANDE ECHELLE;Eau et assainissement;;Bilatéral;APD;Prêt;Intervention de type projet;Aide déliée;175000000.0;;;0.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBD1043;;;;;;Non;2024-03-28;2024-02-06;2024-02-06;;afddacca@afd.fr;Division eau et assainissement;Souverain Direct;0.0;175000000.0;Oui;2023-06-22;Non;22.353577, 91.760394
AFD;CBF129907;CBF1299;Appui au Programme de Développement Stratégique de l'Education de Base au Burkina Faso (PDSEB) sur subvention déléguée du Partenariat mondial pour l'éducation. PHASE 2;;Délégation du PME pour appuyer le Plan de développement sectoriel de l'Education de Base  via le fonds commun d'appui au programme;;Exécution;2019-07-11;;;AGENCE DE OUAGADOUGOU;France;;AGENCE FRANCAISE DE DEVELOPPEMENT;11004.0;BURKINA FASO;Afrique Sub-saharienne;12.364637;-1.533864;ENSEIGNEMENT PRIMAIRE;Education, formation, emploi;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;468120.9625;;;0.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1299;;;;;;Non;2024-03-27;2019-11-13;2019-11-13;https://www.afd.fr/fr/ressources/resume-evaluation-appui-pme-afd-programmes-education-burkina-faso;AFDOUAGADOUGOU@afd.fr;Division Education et Formation professionnelle;Sans objet ( autre que prêt );0.0;468120.9625;Oui;2019-07-12;Oui;12.364637, -1.533864
AFD;CBF132701;CBF1327;Mise à l'échelle de l'approche par le marché de l'assainissement en milieu rural au Burkina Faso;;La finalité du projet est d'améliorer durablement les conditions de vie des populations des communes de la Région de l'Est, de la Boucle du Mouhoun et des Hauts Bassins. En cohérence avec les ODD, l'objectif global du projet est d'améliorer l'accès aux services élémentaires d'assainissement et d'hygiène par la mise à l'échelle de l'approche par le marché conçue par le GRET.;;Exécution;2019-02-06;2019-06-19;;AGENCE DE OUAGADOUGOU;France;;GROUPE RECHERCHES ECHANGES TECHNOLOGIQUES;22000.0;BURKINA FASO;Afrique Sub-saharienne;12.364637;-1.533864;ASSAINISSEMENT - DISPOSITIFS DE BASE;Eau et assainissement;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;6000000.0;;;4890222.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1327;;;;;;Non;2024-04-15;2019-11-13;2019-11-13;;AFDOUAGADOUGOU@afd.fr;Division eau et assainissement;Sans objet ( autre que prêt );0.0;6000000.0;Oui;2019-05-09;Oui;12.364637, -1.533864
AFD;CBF133301;CBF1333;Un Avenir au Pays des Falaises;;Programme de développement rural mené par les associations AFRAT, Kuru Kofé et Tétraktys, dans la zone des falaises de la région des Hauts-Bassins et des Cascades au Burkina Faso. Le patrimoine des Falaises est au cœur de ce programme comme vecteur de développement économique, de lien social et de gouvernance territoriale. La protection et la valorisation des patrimoines sont ici conçues comme le socle de la promotion économique et sociale des communautés locales.;;Achevé;2018-05-15;2018-11-14;;SIEGE PARIS - OPERATIONS SIEGE;France;;Association pour la Formation Ruraux aux Activités;22000.0;BURKINA FASO;Afrique Sub-saharienne;11.183333;-4.283333;POLITIQUE TOURISME, GESTION ADMINISTRAT.;Secteur productif;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;325500.0;;;325500.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1333;;;;;;Oui;2022-04-08;2018-10-08;2018-10-08;;;Div. Organisations de la Société Civile;Sans objet ( autre que prêt );0.0;325500.0;Oui;2018-10-11;Non;11.183333, -4.283333
